                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3224,                 1.4112,                 1.2954,                0.49698,                0.55194,                0.49435,                0.34769,                  1.177,                 4.3799,                 1.2568,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.1914,                0.75203,                 1.1937,                0.27094,                0.19795,                0.19344,                0.14254,                 1.5376,                 28.355,                   1.65,             0.00063726,             0.00063726,             0.00063726
                      3,                 1.2211,                0.71979,                 1.1897,                0.39111,                0.65357,                0.33495,                0.22654,                 1.3713,                 21.837,                 1.4484,             0.00094458,             0.00094458,             0.00094458
                      4,                 1.1769,                0.67698,                    1.2,                0.20723,                0.26949,                0.12781,                0.07029,                 1.8713,                  68.87,                 1.8578,              0.0012387,              0.0012387,              0.0012387
                      5,                 1.1768,                0.68324,                 1.1706,                0.59962,                0.36848,                0.36229,                 0.2296,                 1.5651,                   1.94,                   1.46,              0.0015196,              0.0015196,              0.0015196
                      6,                 1.1456,                0.65819,                 1.1767,                0.81007,                0.72214,                0.80317,                0.47357,                   1.35,                 1.0305,                 1.3904,               0.001502,               0.001502,               0.001502
                      7,                  1.139,                0.61485,                 1.1831,                0.70527,                0.67744,                0.75935,                 0.4527,                 1.3158,                0.99397,                 1.3142,               0.001469,               0.001469,               0.001469
                      8,                 1.1148,                0.58567,                 1.1509,                0.84559,                0.66763,                0.80059,                0.48478,                 1.3271,                0.89777,                  1.291,               0.001436,               0.001436,               0.001436
                      9,                 1.0951,                0.55841,                 1.1322,                0.56863,                0.84128,                0.59103,                0.31948,                 1.1414,                 1.2768,                 1.1984,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.0768,                0.55855,                 1.1324,                0.87339,                 0.8342,                0.89189,                0.58371,                 1.0982,                0.62751,                 1.1634,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.0312,                0.53198,                 1.1227,                0.90985,                0.81654,                0.90199,                0.58203,                  1.099,                0.57763,                 1.1823,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.0435,                0.53506,                 1.1061,                  0.904,                0.85509,                0.92244,                0.61014,                 1.0424,                0.54904,                 1.1482,              0.0013039,              0.0013039,              0.0013039
