                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4567,                 1.6564,                 1.3091,                 0.2731,                0.68129,                0.27361,                0.18041,                 1.2016,                 4.8362,                 1.1974,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.1968,                 0.8044,                 1.1614,                0.78593,                0.77351,                0.79861,                0.48484,                 1.1696,                 1.1281,                 1.1542,             0.00063726,             0.00063726,             0.00063726
                      3,                 1.1627,                 0.7107,                 1.1307,                0.77194,                0.81393,                0.82368,                0.49303,                 1.1441,                 1.0231,                 1.1519,             0.00094458,             0.00094458,             0.00094458
                      4,                 1.1634,                0.67723,                 1.1255,                0.53272,                0.77682,                0.56773,                0.39905,                 1.2139,                 1.9374,                 1.2044,              0.0012387,              0.0012387,              0.0012387
                      5,                 1.1366,                0.66811,                 1.1255,                 0.8231,                0.76143,                0.83892,                0.52185,                 1.1407,                0.89288,                 1.1491,              0.0015196,              0.0015196,              0.0015196
                      6,                 1.1513,                0.65306,                 1.1184,                0.81394,                0.78467,                0.82419,                0.52505,                 1.1528,                 0.7741,                 1.1672,               0.001502,               0.001502,               0.001502
                      7,                 1.1395,                0.62621,                   1.12,                0.86318,                0.80066,                0.90225,                0.54587,                  1.171,                0.68831,                 1.1681,               0.001502,               0.001502,               0.001502
                      8,                 1.1176,                0.61223,                 1.1202,                0.90101,                0.85085,                0.92455,                0.58554,                 1.1044,                0.64261,                 1.1286,               0.001469,               0.001469,               0.001469
                      9,                 1.0854,                0.59484,                 1.0979,                0.88364,                 0.8744,                0.92466,                0.61199,                 1.0347,                0.55189,                 1.0976,               0.001436,               0.001436,               0.001436
                     10,                  1.107,                0.59722,                 1.0908,                0.88491,                0.84566,                0.91078,                0.60646,                 1.0298,                0.59433,                 1.0947,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0538,                0.55545,                 1.0782,                0.90279,                0.85198,                0.92479,                0.61996,                  1.027,                0.54691,                 1.1026,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.0175,                0.53391,                 1.0528,                0.93349,                0.87747,                0.94441,                 0.6312,                 1.0363,                 0.5193,                 1.1096,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0417,                0.52849,                 1.0702,                0.89786,                0.90432,                0.94046,                0.63334,                  1.017,                0.51316,                 1.0871,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.0203,                0.52167,                  1.066,                0.91652,                0.87492,                0.93923,                0.63687,                0.99657,                0.50363,                 1.0779,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.0299,                0.52376,                 1.0552,                 0.8971,                0.87945,                0.93354,                0.63411,                0.99068,                0.50482,                 1.0726,              0.0012379,              0.0012379,              0.0012379
                     16,                0.99014,                0.51471,                 1.0493,                 0.8988,                0.88365,                0.94195,                0.63727,                0.98998,                0.51281,                 1.0778,              0.0012049,              0.0012049,              0.0012049
                     17,                0.99073,                 0.5007,                  1.054,                0.91222,                0.89626,                0.94535,                0.64571,                  0.993,                0.48189,                 1.0698,              0.0011719,              0.0011719,              0.0011719
                     18,                0.97248,                0.48871,                 1.0435,                0.90102,                0.88909,                0.94398,                0.63921,                 0.9946,                0.48498,                 1.0804,              0.0011389,              0.0011389,              0.0011389
